currentSourceFile,currentItemId,v02RowId,matchStatus,v02Decision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,quarantineReason,productionReason,riskFlag,notes
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_nom_acc_masc_definite,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_nom_acc_masc_definite,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_nom_acc_masc_definite,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_nom_acc_masc_definite,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_acc_direct_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_acc_direct_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_acc_direct_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_acc_direct_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_acc_direct_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_acc_direct_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_acc_direct_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_acc_direct_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_fixed_dative_triggers,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_fixed_dative_triggers,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_fixed_dative_triggers,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_fixed_dative_triggers,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_indirect_dative_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_dative_indirect_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_indirect_dative_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_dative_indirect_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_indirect_dative_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_dative_indirect_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_indirect_dative_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_dative_indirect_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_family_contrast_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_article_family_contrast,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_family_contrast_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_article_family_contrast,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_family_contrast_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,typed,cases_articles_article_family_contrast,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_family_contrast_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_article_family_contrast,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_pronoun_case_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_pronoun_case_ich_du,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_pronoun_case_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_pronoun_case_ich_du,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_pronoun_case_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,typed,cases_articles_pronoun_case_ich_du,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_pronoun_case_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_pronoun_case_ich_du,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_plural_dative_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_plural_dative_article,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_plural_dative_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_plural_dative_article,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_plural_dative_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,typed,cases_articles_plural_dative_article,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_plural_dative_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_plural_dative_article,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_article_required_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Auswahl,selected_choice_value,cases_articles_article_required_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_article_required_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Luecke,typed,cases_articles_article_required_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_article_required_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,typed,cases_articles_article_required_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_article_required_004,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Kontrast,selected_choice_value,cases_articles_article_required_object,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
content/b1-cases-articles.js,b1_cases_articles_v0841_variable_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_v0841_variable_acc_masc_location,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
